Latitude,Longitude,GMT,AST,Direct Tilted Irradiance,Diffused Tilted Irradiance,Cell Temperature,Panel Efficiency,Power Generation
52.0,4.7,2008-03-06 15:00:00,15.6204782787037,19.53278237082033,70.51960573833492,12.257921459310015,0.15096853421977952,14.011720877012571
52.0,4.7,2008-03-06 16:00:00,16.6204782787037,6.9118596155310765,26.20122926420278,9.717716733716042,0.14067810747321233,4.796237833881128
52.0,4.7,2008-03-06 17:00:00,17.6204782787037,0.04331514334498513,0.37459995270459434,7.792427530609451,0.13023327010371494,0.05718253102039688
52.0,4.7,2008-03-06 18:00:00,18.6204782787037,-0.0,0.0,7.396966552734398,0.13033540841139307,0.0
52.0,4.7,2008-03-06 19:00:00,19.6204782787037,-0.0,0.0,7.264764404296898,0.1304314802652528,0.0
52.0,4.7,2008-03-06 20:00:00,20.6204782787037,-0.0,0.0,7.029595947265648,0.13060237816595532,0.0
52.0,4.7,2008-03-06 21:00:00,21.6204782787037,-0.0,0.0,6.971307373046898,0.1306447367164798,0.0
52.0,4.7,2008-03-06 22:00:00,22.6204782787037,-0.0,0.0,7.089837646484398,0.13055860027132948,0.0
52.0,4.7,2008-03-06 23:00:00,0.12047827870370101,-0.0,0.0,7.055383300781273,0.13058363838836726,0.0
52.0,4.7,2008-03-07 00:00:00,0.6247416397537328,-0.0,0.0,7.017785644531273,0.13061096076231815,0.0
52.0,4.7,2008-03-07 01:00:00,1.6247416397537329,-0.0,0.0,6.911035156250023,0.13068853678835723,0.0
52.0,4.7,2008-03-07 02:00:00,2.624741639753733,-0.0,0.0,6.801263427734398,0.13076830836230313,0.0
52.0,4.7,2008-03-07 03:00:00,3.624741639753733,-0.0,0.0,6.351464843750023,0.13109517887339245,0.0
52.0,4.7,2008-03-07 04:00:00,4.624741639753733,-0.0,0.0,6.008111572265648,0.1313446951309585,0.0
52.0,4.7,2008-03-07 05:00:00,5.624741639753733,-0.0,0.0,6.229028320312523,0.1311841540067455,0.0
52.0,4.7,2008-03-07 06:00:00,6.624741639753733,2.0775944158146307,16.56310857603851,7.248430429485011,0.13778936538728878,2.6519296549347224
52.0,4.7,2008-03-07 07:00:00,7.624741639753733,29.742185408063047,72.27283663302579,10.95423554719221,0.15346273178196243,16.103271595007925
52.0,4.7,2008-03-07 08:00:00,8.624741639753733,144.04058413030845,129.89827459177366,16.917896769601438,0.15639453100570258,43.889953906173545
52.0,4.7,2008-03-07 09:00:00,9.624741639753733,270.36382864690125,150.51578210135364,21.41824527922267,0.15495044414462378,66.64095549373144
52.0,4.7,2008-03-07 10:00:00,10.624741639753733,535.6381761733498,120.04903548717039,28.25523346826951,0.1513329347092292,101.1278992675816
52.0,4.7,2008-03-07 11:00:00,11.624741639753733,609.7827640739699,107.90557626470363,30.339678592660082,0.1495660487153153,109.31911974610095
52.0,4.7,2008-03-07 12:00:00,12.624741639753733,526.0697599724851,111.31782172992655,28.53531615893932,0.15118828657770314,98.18921900566362
52.0,4.7,2008-03-07 13:00:00,13.624741639753733,550.5351648784956,88.24557868267232,28.78239779857371,0.15100516131214128,98.27074804220845
52.0,4.7,2008-03-07 14:00:00,14.624741639753733,376.32226594071136,89.35026519227996,23.519183963178584,0.1540073312038655,73.17450308625259
52.0,4.7,2008-03-07 15:00:00,15.624741639753733,184.68923920581258,72.06144561303701,16.677720314755646,0.1563644102830547,41.10535273070439
52.0,4.7,2008-03-07 16:00:00,16.624741639753733,42.498992787978324,33.843257852961095,9.988059616517484,0.15043561779186912,11.81138656029308
52.0,4.7,2008-03-07 17:00:00,17.624741639753733,0.3258102795984498,0.7498420593303139,5.291370222729007,0.132339816487308,0.14931459659459656
52.0,4.7,2008-03-07 18:00:00,18.624741639753733,-0.0,0.0,3.7632385253906477,0.13297605375744134,0.0
52.0,4.7,2008-03-07 19:00:00,19.624741639753733,-0.0,0.0,3.1527038574218977,0.13341973185262102,0.0
52.0,4.7,2008-03-07 20:00:00,20.624741639753733,-0.0,0.0,2.8122497558593977,0.13366714127128662,0.0
52.0,4.7,2008-03-07 21:00:00,21.624741639753733,-0.0,0.0,2.5549865722656477,0.1338540955021356,0.0
52.0,4.7,2008-03-07 22:00:00,22.624741639753733,-0.0,0.0,2.2966857910156477,0.13404180375953842,0.0
52.0,4.7,2008-03-07 23:00:00,0.12474163975373198,-0.0,0.0,2.1430908203125227,0.13415342186675822,0.0
52.0,4.7,2008-03-08 00:00:00,0.6291387603035832,-0.0,0.0,2.0931030273437727,0.134189748204852,0.0
52.0,4.7,2008-03-08 01:00:00,1.6291387603035834,-0.0,0.0,1.9582763671875227,0.13428772730234795,0.0
52.0,4.7,2008-03-08 02:00:00,2.6291387603035834,-0.0,0.0,1.7639099121093977,0.1344289742176833,0.0
52.0,4.7,2008-03-08 03:00:00,3.6291387603035834,-0.0,0.0,1.5125366210937727,0.13461164823897664,0.0
52.0,4.7,2008-03-08 04:00:00,4.629138760303583,-0.0,0.0,1.3152099609375227,0.1347550463477156,0.0
52.0,4.7,2008-03-08 05:00:00,5.629138760303583,-0.0,0.0,1.4021850585937727,0.13469184118070263,0.0
52.0,4.7,2008-03-08 06:00:00,6.629138760303583,0.7982568591137935,13.554629231526128,4.1583948569896165,0.13847248203889495,2.049228508498244
52.0,4.7,2008-03-08 07:00:00,7.629138760303583,2.2350345013924016,34.166270267207246,5.749238757536782,0.144539787204146,5.42621039548963
52.0,4.7,2008-03-08 08:00:00,8.629138760303583,4.832303983496759,53.047027411915096,6.820061542561391,0.14922784177008744,8.947043275007644
52.0,4.7,2008-03-08 09:00:00,9.629138760303583,13.471257600123225,74.7892286013297,9.056120762022896,0.15311270320297868,14.010659950733853
52.0,4.7,2008-03-08 10:00:00,10.629138760303583,311.49174499367086,188.41290758250867,23.934327148009945,0.1540934809299231,78.71313083135028
52.0,4.7,2008-03-08 11:00:00,11.629138760303583,545.6696081717542,123.551663490591,29.22771742140371,0.15057386757821684,102.70278838550172
52.0,4.7,2008-03-08 12:00:00,12.629138760303583,625.5363341256715,101.13685518323041,30.95975019534321,0.1490828275703417,110.32851148688037
52.0,4.7,2008-03-08 13:00:00,13.629138760303583,560.9459542272962,91.45015531858756,28.858994156372827,0.15090652587488185,100.30827715017175
52.0,4.7,2008-03-08 14:00:00,14.629138760303583,400.13978113633465,93.64414863977835,24.211652854364505,0.15382296906115395,77.4963007797951
52.0,4.7,2008-03-08 15:00:00,15.629138760303583,129.68357755478903,82.72862982288147,15.910086367918154,0.15621764657786444,33.976814282938086
52.0,4.7,2008-03-08 16:00:00,16.629138760303583,19.61629606605335,33.3168123555254,10.381562200094223,0.14540392171840452,7.899801168560872
52.0,4.7,2008-03-08 17:00:00,17.629138760303583,0.14186759855569736,0.7179018883770792,8.138727445616444,0.130175923106186,0.11740161858883309
52.0,4.7,2008-03-08 18:00:00,18.629138760303583,-0.0,0.0,8.050653076171898,0.12986037168247433,0.0
52.0,4.7,2008-03-08 19:00:00,19.629138760303583,-0.0,0.0,8.131616210937523,0.12980153543402329,0.0
52.0,4.7,2008-03-08 20:00:00,20.629138760303583,-0.0,0.0,8.095239257812523,0.1298279707179108,0.0
52.0,4.7,2008-03-08 21:00:00,21.629138760303583,-0.0,0.0,8.016900634765648,0.12988489972272568,0.0
52.0,4.7,2008-03-08 22:00:00,22.629138760303583,-0.0,0.0,7.949426269531273,0.1299339336259768,0.0
52.0,4.7,2008-03-08 23:00:00,0.12913876030358243,-0.0,0.0,7.927209472656273,0.12995007866512961,0.0
52.0,4.7,2008-03-09 00:00:00,0.633662722969741,-0.0,0.0,7.961022949218773,0.12992550627037508,0.0
52.0,4.7,2008-03-09 01:00:00,1.6336627229697411,-0.0,0.0,7.977960205078148,0.12991319789574624,0.0
52.0,4.7,2008-03-09 02:00:00,2.633662722969741,-0.0,0.0,7.912225341796898,0.1299609676956571,0.0
52.0,4.7,2008-03-09 03:00:00,3.633662722969741,-0.0,0.0,7.765069580078148,0.13006790640279278,0.0
52.0,4.7,2008-03-09 04:00:00,4.633662722969741,-0.0,0.0,7.610498046875023,0.13018023418206323,0.0
52.0,4.7,2008-03-09 05:00:00,5.633662722969741,-0.0,0.0,7.560693359375023,0.13021642745664752,0.0
52.0,4.7,2008-03-09 06:00:00,6.633662722969741,0.19305622481628198,9.57085006356648,8.01807450933266,0.13392116812501983,1.349050341480103
52.0,4.7,2008-03-09 07:00:00,7.633662722969741,0.814133730462967,28.509412774483863,8.988813546052983,0.14007124974708185,4.237471184401941
52.0,4.7,2008-03-09 08:00:00,8.63366272296974,1.2405570127312582,33.99600346218856,9.519175099093298,0.1415584352329078,5.191795954474909
52.0,4.7,2008-03-09 09:00:00,9.63366272296974,1.7640673772605788,39.49550575754701,10.026074327449523,0.14292417873731922,6.158295502333888
52.0,4.7,2008-03-09 10:00:00,10.63366272296974,2.669736202449683,47.46983230389903,10.708679180728437,0.14472879433443514,7.587891755430054
52.0,4.7,2008-03-09 11:00:00,11.63366272296974,3.74501932038637,53.68367973631763,11.115644911935831,0.14613014643899686,8.777810812685498
52.0,4.7,2008-03-09 12:00:00,12.63366272296974,4.665697447032146,56.25378444059729,11.29944166793102,0.14674744415083893,9.346892391577226
52.0,4.7,2008-03-09 13:00:00,13.63366272296974,5.200827554513294,54.72434085641727,11.279785879618043,0.14653148717437053,9.167676815072452
52.0,4.7,2008-03-09 14:00:00,14.63366272296974,6.693621004928747,59.25199883437663,11.370978212033098,0.14765386440918593,10.125275175479116
52.0,4.7,2008-03-09 15:00:00,15.63366272296974,4.125097557900681,41.8943664764092,10.235444965901843,0.14393108375234792,6.860108960859823
52.0,4.7,2008-03-09 16:00:00,16.63366272296974,1.2802276422865881,16.6588237868432,8.7815976368109,0.13642414501043876,2.5261097468457567
52.0,4.7,2008-03-09 17:00:00,17.63366272296974,0.015270328871717871,0.35735289097592465,7.68622385508611,0.13029055753289476,0.05105195838446208
52.0,4.7,2008-03-09 18:00:00,18.63366272296974,-0.0,0.0,6.953546142578148,0.13065764387690143,0.0
52.0,4.7,2008-03-09 19:00:00,19.63366272296974,-0.0,0.0,6.188073730468773,0.13121391587837056,0.0
52.0,4.7,2008-03-09 20:00:00,20.63366272296974,-0.0,0.0,5.887902832031273,0.13143205132494593,0.0
52.0,4.7,2008-03-09 21:00:00,21.63366272296974,-0.0,0.0,5.824395751953148,0.13147820218549122,0.0
52.0,4.7,2008-03-09 22:00:00,22.63366272296974,-0.0,0.0,5.603723144531273,0.13163856589169157,0.0
52.0,4.7,2008-03-09 23:00:00,0.13366272296974022,-0.0,0.0,5.287652587890648,0.13186825568634197,0.0
52.0,4.7,2008-03-10 00:00:00,0.6383064534603219,-0.0,0.0,5.081964111328148,0.1320177303620148,0.0
52.0,4.7,2008-03-10 01:00:00,1.638306453460322,-0.0,0.0,4.953973388671898,0.13211074175515602,0.0
52.0,4.7,2008-03-10 02:00:00,2.638306453460322,-0.0,0.0,4.813378906250023,0.13221291235320126,0.0
52.0,4.7,2008-03-10 03:00:00,3.638306453460322,-0.0,0.0,4.621789550781273,0.13235214113864252,0.0
52.0,4.7,2008-03-10 04:00:00,4.638306453460322,-0.0,0.0,4.396752929687523,0.1325156761918193,0.0
52.0,4.7,2008-03-10 05:00:00,5.638306453460322,-0.0,0.0,4.203393554687523,0.1326561912578524,0.0
52.0,4.7,2008-03-10 06:00:00,6.638306453460322,0.7608893960378059,17.28739457679873,4.875200568134583,0.13931006308070984,2.598563297779786
52.0,4.7,2008-03-10 07:00:00,7.638306453460322,3.235750701070592,52.35910890463395,6.4198982032720595,0.1489558102255295,8.541866096886967
52.0,4.7,2008-03-10 08:00:00,8.638306453460322,3.9690494819421356,63.20298043657589,7.260318197721077,0.15082242759263909,10.487093413925427
52.0,4.7,2008-03-10 09:00:00,9.638306453460322,5.10942721029096,66.51535180784339,8.047578547506856,0.1511608432113171,11.266110141063413
